                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98932,                0.77711,                 1.1494,                0.94031,                0.87411,                0.93043,                 0.6997,                0.97926,                0.63446,                   1.17,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.0116,                0.80615,                 1.1529,                0.85775,                0.91171,                0.93653,                0.70893,                0.94803,                0.63973,                 1.1383,             0.00081688,             0.00081688,             0.00081688
                     37,                0.96989,                0.74924,                 1.1323,                0.91973,                0.90432,                0.94629,                0.71335,                0.97761,                0.61432,                 1.1496,              0.0008045,              0.0008045,              0.0008045
                     38,                0.97163,                0.75332,                 1.1338,                0.91626,                0.84743,                0.94175,                0.70881,                0.95836,                0.66162,                 1.1413,             0.00079213,             0.00079213,             0.00079213
                     39,                0.97423,                0.74025,                 1.1329,                0.90251,                  0.874,                0.88446,                0.65669,                 0.9719,                0.70962,                 1.1556,             0.00077975,             0.00077975,             0.00077975
                     40,                0.96535,                0.72317,                 1.1328,                0.90654,                0.88018,                0.93334,                0.69226,                0.96891,                0.63426,                 1.1537,             0.00076738,             0.00076738,             0.00076738
                     41,                0.97878,                0.75503,                 1.1347,                 0.9043,                 0.8907,                0.94209,                0.69693,                 0.9617,                0.62582,                 1.1468,               0.000755,               0.000755,               0.000755
                     42,                0.94732,                0.71076,                 1.1096,                0.91272,                0.91059,                0.93666,                0.69949,                 0.9832,                0.61652,                 1.1672,             0.00074263,             0.00074263,             0.00074263
                     43,                0.95715,                0.71032,                 1.1331,                0.89651,                0.89331,                0.93443,                0.69706,                0.99554,                0.68641,                 1.1571,             0.00073025,             0.00073025,             0.00073025
                     44,                0.95552,                0.70898,                 1.1222,                0.89307,                  0.901,                0.93321,                0.69922,                0.98104,                0.60593,                 1.1575,             0.00071788,             0.00071788,             0.00071788
                     45,                 0.9517,                0.72302,                 1.1347,                0.87655,                0.89954,                0.91416,                0.67772,                0.99829,                0.67066,                 1.1625,              0.0007055,              0.0007055,              0.0007055
